Project_ID,Project_Name,Location,Energy_Generated_kWh,Weather_Score,Grid_Emission_Factor,CO2_Reduced_tons
SOL0835,Solar Project Satara 835,Satara,12151,0.81,0.81,9.86
HYDRO0251,Hydro Station Nashik 251,Nashik,10806,0.74,0.81,8.77
SOL0836,Solar Project Thane 836,Thane,9235,0.77,0.86,7.98
FOR0166,Afforestation Kolhapur 166,Kolhapur,0,0.72,0.7,9.9
SOL0837,Solar Project Thane 837,Thane,8307,0.84,0.82,6.84
HYDRO0252,Hydro Station Pune 252,Pune,12954,0.74,0.81,10.5
SOL0838,Solar Project Amravati 838,Amravati,7935,0.89,0.83,6.55
WIND0363,Wind Farm Satara 363,Satara,14950,0.79,0.78,11.72
HYDRO0253,Hydro Station Kolhapur 253,Kolhapur,7619,0.77,0.84,6.4
WIND0364,Wind Farm Mumbai 364,Mumbai,12455,0.78,0.83,10.38
SOL0839,Solar Project Nagpur 839,Nagpur,10458,0.93,0.82,8.56
SOL0840,Solar Project Kolhapur 840,Kolhapur,8005,0.83,0.84,6.7
BIO0192,BioEnergy Kolhapur 192,Kolhapur,5095,0.9,0.86,4.4
SOL0841,Solar Project Solapur 841,Solapur,7546,0.86,0.81,6.12
SOL0842,Solar Project Nagpur 842,Nagpur,8901,0.9,0.79,7.04
SOL0843,Solar Project Thane 843,Thane,8112,0.89,0.81,6.58
BIO0193,BioEnergy Sangli 193,Sangli,2755,0.92,0.85,2.33
HYDRO0254,Hydro Station Aurangabad 254,Aurangabad,10675,0.77,0.78,8.36
SOL0844,Solar Project Thane 844,Thane,11831,0.83,0.82,9.7
BIO0194,BioEnergy Nashik 194,Nashik,6326,0.9,0.84,5.32
SOL0845,Solar Project Mumbai 845,Mumbai,9427,0.78,0.8,7.52
FOR0167,Afforestation Ratnagiri 167,Ratnagiri,0,0.68,0.7,11.9
SOL0846,Solar Project Latur 846,Latur,6137,0.87,0.82,5.02
SOL0847,Solar Project Kolhapur 847,Kolhapur,10230,0.89,0.81,8.26
SOL0848,Solar Project Kolhapur 848,Kolhapur,10284,0.84,0.81,8.37
WIND0365,Wind Farm Ratnagiri 365,Ratnagiri,11263,0.79,0.81,9.07
SOL0849,Solar Project Satara 849,Satara,9037,0.83,0.78,7.09
WIND0366,Wind Farm Ratnagiri 366,Ratnagiri,13486,0.74,0.8,10.84
SOL0850,Solar Project Nagpur 850,Nagpur,8863,0.8,0.83,7.32
HYDRO0255,Hydro Station Satara 255,Satara,10180,0.74,0.79,8.07
SOL0851,Solar Project Nashik 851,Nashik,3300,0.88,0.85,2.81
SOL0852,Solar Project Mumbai 852,Mumbai,9296,0.84,0.84,7.79
SOL0853,Solar Project Latur 853,Latur,10527,0.91,0.82,8.63
WIND0367,Wind Farm Ahmednagar 367,Ahmednagar,10333,0.82,0.79,8.21
WIND0368,Wind Farm Ratnagiri 368,Ratnagiri,11627,0.77,0.78,9.11
WIND0369,Wind Farm Nashik 369,Nashik,12142,0.83,0.78,9.48
SOL0854,Solar Project Amravati 854,Amravati,5775,0.89,0.77,4.46
SOL0855,Solar Project Nagpur 855,Nagpur,10259,0.75,0.8,8.2
WIND0370,Wind Farm Ahmednagar 370,Ahmednagar,10490,0.73,0.78,8.18
SOL0856,Solar Project Nanded 856,Nanded,6750,0.91,0.81,5.46
SOL0857,Solar Project Pune 857,Pune,7967,0.84,0.83,6.58
WIND0371,Wind Farm Ratnagiri 371,Ratnagiri,14015,0.73,0.81,11.35
SOL0858,Solar Project Aurangabad 858,Aurangabad,9960,0.85,0.84,8.36
FOR0168,Afforestation Nashik 168,Nashik,0,0.72,0.7,11.65
HYDRO0256,Hydro Station Satara 256,Satara,10320,0.75,0.82,8.49
FOR0169,Afforestation Ratnagiri 169,Ratnagiri,0,0.71,0.7,11.4
WIND0372,Wind Farm Kolhapur 372,Kolhapur,12840,0.75,0.8,10.25
SOL0859,Solar Project Kolhapur 859,Kolhapur,13544,0.85,0.81,10.92
BIO0195,BioEnergy Nashik 195,Nashik,5492,0.88,0.87,4.8
WIND0373,Wind Farm Ahmednagar 373,Ahmednagar,8756,0.65,0.82,7.14
SOL0860,Solar Project Solapur 860,Solapur,9539,0.8,0.8,7.65
SOL0861,Solar Project Mumbai 861,Mumbai,12646,0.85,0.84,10.66
BIO0196,BioEnergy Jalgaon 196,Jalgaon,4097,0.86,0.86,3.53
WIND0374,Wind Farm Pune 374,Pune,10870,0.82,0.85,9.26
HYDRO0257,Hydro Station Aurangabad 257,Aurangabad,8995,0.75,0.8,7.18
SOL0862,Solar Project Amravati 862,Amravati,9329,0.8,0.78,7.31
WIND0375,Wind Farm Satara 375,Satara,14508,0.66,0.79,11.48
SOL0863,Solar Project Mumbai 863,Mumbai,10611,0.84,0.86,9.12
SOL0864,Solar Project Aurangabad 864,Aurangabad,4754,0.84,0.85,4.04
WIND0376,Wind Farm Solapur 376,Solapur,13200,0.66,0.82,10.81
SOL0865,Solar Project Thane 865,Thane,9476,0.81,0.81,7.72
SOL0866,Solar Project Pune 866,Pune,8296,0.9,0.84,6.95
SOL0867,Solar Project Amravati 867,Amravati,7258,0.95,0.81,5.85
SOL0868,Solar Project Thane 868,Thane,8723,0.87,0.79,6.92
WIND0377,Wind Farm Kolhapur 377,Kolhapur,10842,0.7,0.8,8.64
BIO0197,BioEnergy Pune 197,Pune,4170,0.91,0.86,3.59
SOL0869,Solar Project Nashik 869,Nashik,8816,0.78,0.74,6.54
WIND0378,Wind Farm Ahmednagar 378,Ahmednagar,9743,0.77,0.81,7.85
BIO0198,BioEnergy Kolhapur 198,Kolhapur,4956,0.89,0.87,4.32
SOL0870,Solar Project Pune 870,Pune,3883,0.76,0.79,3.07
WIND0379,Wind Farm Ahmednagar 379,Ahmednagar,11901,0.75,0.81,9.61
SOL0871,Solar Project Kolhapur 871,Kolhapur,5906,0.95,0.79,4.65
HYDRO0258,Hydro Station Nagpur 258,Nagpur,11366,0.66,0.82,9.31
SOL0872,Solar Project Kolhapur 872,Kolhapur,8411,0.84,0.81,6.78
WIND0380,Wind Farm Solapur 380,Solapur,13930,0.79,0.8,11.11
WIND0381,Wind Farm Sindhudurg 381,Sindhudurg,11440,0.77,0.8,9.18
SOL0873,Solar Project Mumbai 873,Mumbai,10227,0.82,0.81,8.33
SOL0874,Solar Project Amravati 874,Amravati,9122,0.79,0.81,7.39
HYDRO0259,Hydro Station Pune 259,Pune,12819,0.77,0.8,10.23
SOL0875,Solar Project Mumbai 875,Mumbai,10133,0.92,0.77,7.85
WIND0382,Wind Farm Sindhudurg 382,Sindhudurg,13039,0.82,0.8,10.38
BIO0199,BioEnergy Jalgaon 199,Jalgaon,5766,0.84,0.84,4.86
WIND0383,Wind Farm Satara 383,Satara,12617,0.84,0.82,10.31
SOL0876,Solar Project Thane 876,Thane,7888,0.88,0.81,6.37
SOL0877,Solar Project Amravati 877,Amravati,7613,0.81,0.81,6.19
HYDRO0260,Hydro Station Nagpur 260,Nagpur,5964,0.65,0.8,4.75
SOL0878,Solar Project Solapur 878,Solapur,11650,0.88,0.81,9.43
SOL0879,Solar Project Nanded 879,Nanded,12633,0.91,0.82,10.34
SOL0880,Solar Project Solapur 880,Solapur,12253,0.84,0.79,9.73
FOR0170,Afforestation Thane 170,Thane,0,0.72,0.7,8.76
SOL0881,Solar Project Solapur 881,Solapur,11152,0.83,0.81,9.08
SOL0882,Solar Project Aurangabad 882,Aurangabad,11954,0.84,0.81,9.72
FOR0171,Afforestation Pune 171,Pune,0,0.66,0.7,11.28
SOL0883,Solar Project Satara 883,Satara,8489,0.86,0.85,7.19
WIND0384,Wind Farm Nashik 384,Nashik,11137,0.78,0.78,8.66
FOR0172,Afforestation Kolhapur 172,Kolhapur,0,0.71,0.7,7.76
SOL0884,Solar Project Solapur 884,Solapur,7346,0.86,0.79,5.82
HYDRO0261,Hydro Station Pune 261,Pune,10438,0.72,0.78,8.12
HYDRO0262,Hydro Station Satara 262,Satara,10299,0.72,0.81,8.31
WIND0385,Wind Farm Kolhapur 385,Kolhapur,13817,0.66,0.87,12.02
WIND0386,Wind Farm Pune 386,Pune,13938,0.71,0.77,10.74
WIND0387,Wind Farm Ahmednagar 387,Ahmednagar,12021,0.71,0.81,9.68
WIND0388,Wind Farm Kolhapur 388,Kolhapur,10174,0.7,0.77,7.83
SOL0885,Solar Project Solapur 885,Solapur,7643,0.78,0.81,6.23
SOL0886,Solar Project Nanded 886,Nanded,6344,0.85,0.84,5.31
HYDRO0263,Hydro Station Satara 263,Satara,9604,0.77,0.83,7.96
SOL0887,Solar Project Nanded 887,Nanded,8858,0.85,0.81,7.19
WIND0389,Wind Farm Kolhapur 389,Kolhapur,13997,0.7,0.78,10.87
SOL0888,Solar Project Amravati 888,Amravati,6407,0.85,0.79,5.09
SOL0889,Solar Project Nashik 889,Nashik,8010,0.91,0.8,6.42
WIND0390,Wind Farm Ratnagiri 390,Ratnagiri,12857,0.74,0.82,10.57
SOL0890,Solar Project Mumbai 890,Mumbai,9170,0.82,0.81,7.47
SOL0891,Solar Project Nanded 891,Nanded,5502,0.86,0.84,4.64
SOL0892,Solar Project Aurangabad 892,Aurangabad,8724,0.91,0.79,6.93
BIO0200,BioEnergy Kolhapur 200,Kolhapur,4094,0.89,0.86,3.54
WIND0391,Wind Farm Ratnagiri 391,Ratnagiri,11489,0.81,0.83,9.5
SOL0893,Solar Project Latur 893,Latur,4911,0.82,0.83,4.08
BIO0201,BioEnergy Pune 201,Pune,5346,0.87,0.85,4.52
SOL0894,Solar Project Thane 894,Thane,8455,0.95,0.78,6.57
SOL0895,Solar Project Thane 895,Thane,8462,0.84,0.79,6.65
WIND0392,Wind Farm Nashik 392,Nashik,11886,0.7,0.77,9.18
HYDRO0264,Hydro Station Pune 264,Pune,7620,0.83,0.79,6.01
BIO0202,BioEnergy Sangli 202,Sangli,4885,0.86,0.82,4.03
SOL0896,Solar Project Nanded 896,Nanded,7899,0.81,0.83,6.53
SOL0897,Solar Project Satara 897,Satara,6047,0.9,0.8,4.83
WIND0393,Wind Farm Ratnagiri 393,Ratnagiri,11917,0.67,0.82,9.83
SOL0898,Solar Project Pune 898,Pune,7561,0.85,0.83,6.24
BIO0203,BioEnergy Nashik 203,Nashik,5529,0.85,0.88,4.86
SOL0899,Solar Project Latur 899,Latur,10034,0.81,0.8,7.99
SOL0900,Solar Project Thane 900,Thane,11223,0.93,0.82,9.16
HYDRO0265,Hydro Station Aurangabad 265,Aurangabad,9713,0.74,0.81,7.84
HYDRO0266,Hydro Station Aurangabad 266,Aurangabad,11500,0.76,0.8,9.18
SOL0901,Solar Project Pune 901,Pune,11455,0.87,0.8,9.16
SOL0902,Solar Project Satara 902,Satara,7178,0.83,0.82,5.92
SOL0903,Solar Project Mumbai 903,Mumbai,6853,0.85,0.8,5.47
SOL0904,Solar Project Nashik 904,Nashik,9418,0.85,0.8,7.56
SOL0905,Solar Project Amravati 905,Amravati,10576,0.87,0.82,8.72
WIND0394,Wind Farm Ratnagiri 394,Ratnagiri,12328,0.72,0.77,9.48
SOL0906,Solar Project Mumbai 906,Mumbai,9298,0.84,0.81,7.55
WIND0395,Wind Farm Solapur 395,Solapur,12476,0.74,0.85,10.61
SOL0907,Solar Project Satara 907,Satara,9148,0.85,0.82,7.48
WIND0396,Wind Farm Sindhudurg 396,Sindhudurg,11765,0.75,0.86,10.06
SOL0908,Solar Project Aurangabad 908,Aurangabad,13387,0.9,0.81,10.83
SOL0909,Solar Project Nashik 909,Nashik,7219,0.84,0.82,5.9
SOL0910,Solar Project Nashik 910,Nashik,9976,0.85,0.82,8.23
SOL0911,Solar Project Thane 911,Thane,9632,0.79,0.78,7.49
WIND0397,Wind Farm Kolhapur 397,Kolhapur,12494,0.79,0.8,10.02
SOL0912,Solar Project Pune 912,Pune,9117,0.85,0.83,7.61
SOL0913,Solar Project Nashik 913,Nashik,12726,0.91,0.78,9.89
HYDRO0267,Hydro Station Nashik 267,Nashik,8040,0.75,0.82,6.6
HYDRO0268,Hydro Station Satara 268,Satara,8341,0.77,0.8,6.67
SOL0914,Solar Project Latur 914,Latur,3709,0.86,0.83,3.09
SOL0915,Solar Project Mumbai 915,Mumbai,9338,0.78,0.83,7.74
BIO0204,BioEnergy Pune 204,Pune,3289,0.94,0.83,2.74
SOL0916,Solar Project Latur 916,Latur,10634,0.8,0.8,8.48
SOL0917,Solar Project Nanded 917,Nanded,7766,0.83,0.84,6.54
HYDRO0269,Hydro Station Nashik 269,Nashik,8403,0.72,0.82,6.91
SOL0918,Solar Project Aurangabad 918,Aurangabad,8935,0.78,0.8,7.14
BIO0205,BioEnergy Kolhapur 205,Kolhapur,4054,0.88,0.86,3.5
FOR0173,Afforestation Nashik 173,Nashik,0,0.71,0.7,11.09
SOL0919,Solar Project Mumbai 919,Mumbai,6542,0.84,0.85,5.53
WIND0398,Wind Farm Solapur 398,Solapur,14373,0.76,0.8,11.44
SOL0920,Solar Project Thane 920,Thane,7229,0.82,0.79,5.7
WIND0399,Wind Farm Kolhapur 399,Kolhapur,13598,0.67,0.78,10.65
WIND0400,Wind Farm Solapur 400,Solapur,10404,0.82,0.82,8.52
WIND0401,Wind Farm Mumbai 401,Mumbai,13399,0.75,0.83,11.16
HYDRO0270,Hydro Station Nashik 270,Nashik,8293,0.73,0.82,6.8
SOL0921,Solar Project Amravati 921,Amravati,7846,0.86,0.8,6.26
SOL0922,Solar Project Solapur 922,Solapur,8712,0.9,0.81,7.05
WIND0402,Wind Farm Satara 402,Satara,12082,0.7,0.82,9.89
WIND0403,Wind Farm Nashik 403,Nashik,12483,0.66,0.79,9.89
SOL0923,Solar Project Pune 923,Pune,10696,0.76,0.83,8.89
WIND0404,Wind Farm Mumbai 404,Mumbai,14844,0.75,0.83,12.29
BIO0206,BioEnergy Kolhapur 206,Kolhapur,2946,0.86,0.87,2.57
FOR0174,Afforestation Mumbai 174,Mumbai,0,0.71,0.7,9.85
SOL0924,Solar Project Mumbai 924,Mumbai,9463,0.71,0.82,7.74
SOL0925,Solar Project Amravati 925,Amravati,8686,0.84,0.79,6.86
SOL0926,Solar Project Satara 926,Satara,5529,0.84,0.8,4.4
BIO0207,BioEnergy Jalgaon 207,Jalgaon,4092,0.86,0.89,3.62
WIND0405,Wind Farm Nashik 405,Nashik,11614,0.69,0.78,9.09
SOL0927,Solar Project Satara 927,Satara,10277,0.93,0.82,8.39
SOL0928,Solar Project Mumbai 928,Mumbai,10292,0.81,0.82,8.42
SOL0929,Solar Project Mumbai 929,Mumbai,9781,0.81,0.8,7.83
FOR0175,Afforestation Kolhapur 175,Kolhapur,0,0.7,0.7,11.31
HYDRO0271,Hydro Station Satara 271,Satara,11229,0.76,0.8,9.02
BIO0208,BioEnergy Sangli 208,Sangli,6978,0.88,0.89,6.2
WIND0406,Wind Farm Ahmednagar 406,Ahmednagar,12900,0.8,0.81,10.45
SOL0930,Solar Project Satara 930,Satara,7653,0.84,0.79,6.05
SOL0931,Solar Project Satara 931,Satara,7559,0.87,0.82,6.18
FOR0176,Afforestation Kolhapur 176,Kolhapur,0,0.75,0.7,9.37
SOL0932,Solar Project Thane 932,Thane,7863,0.82,0.83,6.52
WIND0407,Wind Farm Ratnagiri 407,Ratnagiri,13123,0.81,0.85,11.1
SOL0933,Solar Project Latur 933,Latur,7254,0.89,0.8,5.83
FOR0177,Afforestation Mumbai 177,Mumbai,0,0.75,0.7,10.19
SOL0934,Solar Project Mumbai 934,Mumbai,12872,0.86,0.81,10.4
BIO0209,BioEnergy Pune 209,Pune,4162,0.87,0.88,3.67
WIND0408,Wind Farm Solapur 408,Solapur,12421,0.65,0.82,10.21
WIND0409,Wind Farm Satara 409,Satara,14100,0.81,0.84,11.88
SOL0935,Solar Project Solapur 935,Solapur,10174,0.86,0.8,8.17
SOL0936,Solar Project Solapur 936,Solapur,8289,0.86,0.81,6.69
BIO0210,BioEnergy Kolhapur 210,Kolhapur,3554,0.88,0.86,3.07
WIND0410,Wind Farm Ratnagiri 410,Ratnagiri,11506,0.67,0.83,9.53
SOL0937,Solar Project Mumbai 937,Mumbai,10092,0.83,0.84,8.52
BIO0211,BioEnergy Nashik 211,Nashik,2283,0.83,0.9,2.04
FOR0178,Afforestation Pune 178,Pune,0,0.76,0.7,8.83
SOL0938,Solar Project Kolhapur 938,Kolhapur,6664,0.83,0.83,5.54
FOR0179,Afforestation Ratnagiri 179,Ratnagiri,0,0.67,0.7,10.08
HYDRO0272,Hydro Station Aurangabad 272,Aurangabad,11430,0.77,0.83,9.49
SOL0939,Solar Project Satara 939,Satara,4594,0.84,0.81,3.74
HYDRO0273,Hydro Station Pune 273,Pune,7437,0.74,0.79,5.87
SOL0940,Solar Project Pune 940,Pune,11392,0.89,0.82,9.39
HYDRO0274,Hydro Station Nashik 274,Nashik,9346,0.71,0.83,7.73
HYDRO0275,Hydro Station Kolhapur 275,Kolhapur,8904,0.78,0.79,7.04
SOL0941,Solar Project Nanded 941,Nanded,7627,0.77,0.82,6.25
BIO0212,BioEnergy Jalgaon 212,Jalgaon,5665,0.89,0.88,5.0
SOL0942,Solar Project Kolhapur 942,Kolhapur,8884,0.8,0.83,7.35
WIND0411,Wind Farm Sindhudurg 411,Sindhudurg,12639,0.79,0.78,9.85
WIND0412,Wind Farm Pune 412,Pune,12549,0.77,0.83,10.36
SOL0943,Solar Project Mumbai 943,Mumbai,9980,0.83,0.79,7.93
BIO0213,BioEnergy Kolhapur 213,Kolhapur,1589,0.88,0.86,1.36
SOL0944,Solar Project Nagpur 944,Nagpur,8931,0.9,0.86,7.65
SOL0945,Solar Project Thane 945,Thane,6200,0.86,0.8,4.96
WIND0413,Wind Farm Solapur 413,Solapur,13772,0.78,0.81,11.19
SOL0946,Solar Project Mumbai 946,Mumbai,10148,0.83,0.82,8.32
SOL0947,Solar Project Thane 947,Thane,11830,0.81,0.81,9.56
SOL0948,Solar Project Amravati 948,Amravati,8095,0.89,0.83,6.69
WIND0414,Wind Farm Nashik 414,Nashik,14134,0.67,0.83,11.72
SOL0949,Solar Project Aurangabad 949,Aurangabad,10642,0.79,0.82,8.76
SOL0950,Solar Project Nagpur 950,Nagpur,15000,0.9,0.82,12.27
SOL0951,Solar Project Latur 951,Latur,8534,0.92,0.8,6.87
SOL0952,Solar Project Kolhapur 952,Kolhapur,7702,0.83,0.79,6.07
WIND0415,Wind Farm Pune 415,Pune,10189,0.69,0.76,7.74
HYDRO0276,Hydro Station Nagpur 276,Nagpur,13261,0.72,0.81,10.72
WIND0416,Wind Farm Sindhudurg 416,Sindhudurg,12091,0.76,0.82,9.92
SOL0953,Solar Project Kolhapur 953,Kolhapur,9668,0.87,0.84,8.09
SOL0954,Solar Project Kolhapur 954,Kolhapur,7415,0.84,0.81,6.01
BIO0214,BioEnergy Jalgaon 214,Jalgaon,6629,0.83,0.89,5.92
SOL0955,Solar Project Mumbai 955,Mumbai,9370,0.84,0.82,7.67
WIND0417,Wind Farm Sindhudurg 417,Sindhudurg,11985,0.81,0.83,9.99
HYDRO0277,Hydro Station Nagpur 277,Nagpur,9186,0.8,0.79,7.23
WIND0418,Wind Farm Satara 418,Satara,10057,0.73,0.79,7.9
HYDRO0278,Hydro Station Aurangabad 278,Aurangabad,12110,0.74,0.85,10.3
SOL0956,Solar Project Aurangabad 956,Aurangabad,10232,0.88,0.82,8.39
SOL0957,Solar Project Kolhapur 957,Kolhapur,7584,0.82,0.83,6.28
FOR0180,Afforestation Mumbai 180,Mumbai,0,0.71,0.7,7.21
WIND0419,Wind Farm Solapur 419,Solapur,12467,0.75,0.78,9.73
SOL0958,Solar Project Pune 958,Pune,9384,0.85,0.82,7.67
WIND0420,Wind Farm Ahmednagar 420,Ahmednagar,12737,0.71,0.8,10.18
SOL0959,Solar Project Thane 959,Thane,11010,0.95,0.78,8.58
SOL0960,Solar Project Latur 960,Latur,6918,0.89,0.78,5.41
WIND0421,Wind Farm Satara 421,Satara,11087,0.77,0.82,9.14
SOL0961,Solar Project Nashik 961,Nashik,7973,0.86,0.77,6.15
WIND0422,Wind Farm Nashik 422,Nashik,14630,0.78,0.8,11.64
SOL0962,Solar Project Aurangabad 962,Aurangabad,10439,0.87,0.8,8.3
HYDRO0279,Hydro Station Kolhapur 279,Kolhapur,8558,0.78,0.82,7.05
SOL0963,Solar Project Nashik 963,Nashik,8759,0.85,0.79,6.93
HYDRO0280,Hydro Station Aurangabad 280,Aurangabad,11007,0.73,0.78,8.57
HYDRO0281,Hydro Station Kolhapur 281,Kolhapur,7986,0.7,0.82,6.54
WIND0423,Wind Farm Ahmednagar 423,Ahmednagar,9848,0.73,0.82,8.07
SOL0964,Solar Project Kolhapur 964,Kolhapur,8334,0.79,0.82,6.87
SOL0965,Solar Project Satara 965,Satara,6413,0.78,0.81,5.22
HYDRO0282,Hydro Station Kolhapur 282,Kolhapur,11610,0.76,0.83,9.61
SOL0966,Solar Project Nanded 966,Nanded,8395,0.88,0.79,6.64
WIND0424,Wind Farm Pune 424,Pune,10886,0.78,0.78,8.49
SOL0967,Solar Project Satara 967,Satara,8767,0.86,0.79,6.93
SOL0968,Solar Project Nagpur 968,Nagpur,9321,0.87,0.79,7.4
BIO0215,BioEnergy Nashik 215,Nashik,4132,0.89,0.86,3.54
SOL0969,Solar Project Aurangabad 969,Aurangabad,9867,0.86,0.81,7.96
WIND0425,Wind Farm Nashik 425,Nashik,12465,0.74,0.82,10.19
SOL0970,Solar Project Mumbai 970,Mumbai,7305,0.89,0.84,6.11
SOL0971,Solar Project Thane 971,Thane,8267,0.86,0.81,6.7
WIND0426,Wind Farm Kolhapur 426,Kolhapur,11020,0.78,0.82,9.09
HYDRO0283,Hydro Station Kolhapur 283,Kolhapur,11785,0.78,0.83,9.76
SOL0972,Solar Project Pune 972,Pune,11806,0.84,0.81,9.61
BIO0216,BioEnergy Nashik 216,Nashik,4446,0.82,0.84,3.72
WIND0427,Wind Farm Kolhapur 427,Kolhapur,12304,0.84,0.81,9.99
BIO0217,BioEnergy Jalgaon 217,Jalgaon,4072,0.87,0.85,3.48
SOL0973,Solar Project Kolhapur 973,Kolhapur,11027,0.87,0.8,8.84
FOR0181,Afforestation Thane 181,Thane,0,0.7,0.7,10.68
SOL0974,Solar Project Pune 974,Pune,7308,0.89,0.8,5.83
SOL0975,Solar Project Solapur 975,Solapur,7343,0.82,0.82,6.0
BIO0218,BioEnergy Pune 218,Pune,5182,0.93,0.85,4.41
WIND0428,Wind Farm Sindhudurg 428,Sindhudurg,11192,0.82,0.83,9.26
SOL0976,Solar Project Nashik 976,Nashik,5711,0.91,0.84,4.81
HYDRO0284,Hydro Station Nashik 284,Nashik,10194,0.73,0.8,8.18
BIO0219,BioEnergy Pune 219,Pune,2373,0.89,0.88,2.09
WIND0429,Wind Farm Mumbai 429,Mumbai,8719,0.76,0.81,7.03
SOL0977,Solar Project Thane 977,Thane,7046,0.82,0.82,5.74
HYDRO0285,Hydro Station Satara 285,Satara,11967,0.72,0.85,10.14
SOL0978,Solar Project Nanded 978,Nanded,9552,0.91,0.81,7.76
SOL0979,Solar Project Pune 979,Pune,12400,0.89,0.79,9.84
SOL0980,Solar Project Thane 980,Thane,4795,0.85,0.82,3.92
BIO0220,BioEnergy Pune 220,Pune,5230,0.87,0.88,4.59
HYDRO0286,Hydro Station Satara 286,Satara,13292,0.73,0.84,11.14
BIO0221,BioEnergy Pune 221,Pune,4077,0.88,0.86,3.52
SOL0981,Solar Project Mumbai 981,Mumbai,8930,0.84,0.78,6.96
WIND0430,Wind Farm Solapur 430,Solapur,12225,0.74,0.78,9.54
HYDRO0287,Hydro Station Satara 287,Satara,11611,0.7,0.83,9.61
WIND0431,Wind Farm Ahmednagar 431,Ahmednagar,15127,0.72,0.82,12.38
HYDRO0288,Hydro Station Aurangabad 288,Aurangabad,7314,0.71,0.81,5.95
SOL0982,Solar Project Satara 982,Satara,6608,0.86,0.78,5.13
SOL0983,Solar Project Mumbai 983,Mumbai,6891,0.89,0.81,5.58
SOL0984,Solar Project Nashik 984,Nashik,8238,0.87,0.82,6.72
WIND0432,Wind Farm Ratnagiri 432,Ratnagiri,12364,0.78,0.8,9.93
HYDRO0289,Hydro Station Nashik 289,Nashik,8905,0.78,0.83,7.37
WIND0433,Wind Farm Pune 433,Pune,8000,0.8,0.82,6.53
SOL0985,Solar Project Mumbai 985,Mumbai,8156,0.79,0.82,6.7
FOR0182,Afforestation Pune 182,Pune,0,0.72,0.7,11.13
SOL0986,Solar Project Amravati 986,Amravati,9980,0.85,0.82,8.14
SOL0987,Solar Project Kolhapur 987,Kolhapur,8263,0.98,0.81,6.72
HYDRO0290,Hydro Station Pune 290,Pune,7789,0.75,0.81,6.3
SOL0988,Solar Project Thane 988,Thane,7436,0.88,0.81,6.03
WIND0434,Wind Farm Solapur 434,Solapur,15079,0.78,0.81,12.18
HYDRO0291,Hydro Station Satara 291,Satara,11731,0.79,0.81,9.55
BIO0222,BioEnergy Nashik 222,Nashik,2572,0.86,0.86,2.2
BIO0223,BioEnergy Nashik 223,Nashik,5660,0.91,0.83,4.67
SOL0989,Solar Project Satara 989,Satara,9184,0.92,0.79,7.29
SOL0990,Solar Project Kolhapur 990,Kolhapur,11770,0.76,0.82,9.69
WIND0435,Wind Farm Pune 435,Pune,14456,0.71,0.78,11.24
SOL0991,Solar Project Mumbai 991,Mumbai,9129,0.97,0.85,7.79
FOR0183,Afforestation Thane 183,Thane,0,0.65,0.7,10.91
WIND0436,Wind Farm Solapur 436,Solapur,13013,0.7,0.83,10.77
FOR0184,Afforestation Kolhapur 184,Kolhapur,0,0.75,0.7,8.96
SOL0992,Solar Project Satara 992,Satara,8084,0.86,0.81,6.58
BIO0224,BioEnergy Sangli 224,Sangli,2930,0.86,0.86,2.51
SOL0993,Solar Project Nagpur 993,Nagpur,9904,0.76,0.82,8.1
SOL0994,Solar Project Latur 994,Latur,8822,0.93,0.79,6.98
FOR0185,Afforestation Pune 185,Pune,0,0.63,0.7,11.7
HYDRO0292,Hydro Station Pune 292,Pune,9813,0.75,0.8,7.9
HYDRO0293,Hydro Station Pune 293,Pune,11836,0.74,0.8,9.41
SOL0995,Solar Project Solapur 995,Solapur,7029,0.81,0.81,5.7
FOR0186,Afforestation Mumbai 186,Mumbai,0,0.6,0.7,11.83
FOR0187,Afforestation Pune 187,Pune,0,0.75,0.7,11.58
BIO0225,BioEnergy Pune 225,Pune,1714,0.9,0.87,1.5
SOL0996,Solar Project Kolhapur 996,Kolhapur,9473,0.86,0.82,7.73
FOR0188,Afforestation Pune 188,Pune,0,0.72,0.7,10.03
SOL0997,Solar Project Kolhapur 997,Kolhapur,6011,0.86,0.8,4.81
WIND0437,Wind Farm Satara 437,Satara,11559,0.79,0.8,9.23
SOL0998,Solar Project Solapur 998,Solapur,7212,0.91,0.78,5.66
WIND0438,Wind Farm Kolhapur 438,Kolhapur,13852,0.74,0.81,11.29
SOL0999,Solar Project Kolhapur 999,Kolhapur,7041,0.85,0.79,5.57
WIND0439,Wind Farm Satara 439,Satara,11880,0.8,0.82,9.69
SOL1000,Solar Project Nashik 1000,Nashik,6338,0.83,0.8,5.04
HYDRO0294,Hydro Station Kolhapur 294,Kolhapur,9194,0.73,0.82,7.54
HYDRO0295,Hydro Station Nashik 295,Nashik,14575,0.74,0.77,11.24
SOL1001,Solar Project Nanded 1001,Nanded,11987,0.8,0.82,9.87
SOL1002,Solar Project Satara 1002,Satara,10218,0.83,0.84,8.59
WIND0440,Wind Farm Ahmednagar 440,Ahmednagar,12144,0.75,0.79,9.59
BIO0226,BioEnergy Kolhapur 226,Kolhapur,4989,0.93,0.85,4.23
FOR0189,Afforestation Nashik 189,Nashik,0,0.69,0.7,11.0
WIND0441,Wind Farm Sindhudurg 441,Sindhudurg,11337,0.85,0.84,9.47
